end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2019-06-29,10-Q,0000100493,10885000000,9549000000,545000000,0.0,791000000,2000000,121000000,45000000,689000000,367000000,1.87,250000000.0,406000000,2452000000,4149000000,426000000,7433000000,7271000000,10944000000,7206000000,811000000,33665000000,2125000000,1958000000,1128000000,5597000000,10461000000,1128000000,13928000000,TSN
2019-09-28,10-Q,0000100493,10884000000,9549000000,531000000,0.0,604000000,2000000,121000000,95000000,372000000,367000000,1.01,250000000.0,484000000,2173000000,4108000000,404000000,7169000000,7282000000,10844000000,7037000000,765000000,33097000000,2102000000,1926000000,1172000000,5513000000,9830000000,1172000000,14082000000,TSN
2019-09-28,10-K,0000100493,42405000000,37383000000,2252000000,23000000.0,2770000000,11000000,462000000,381000000,1993000000,366000000,5.4,1000000000.0,484000000,2173000000,4108000000,404000000,7169000000,7282000000,10844000000,7037000000,765000000,33097000000,2102000000,1926000000,1172000000,5513000000,9830000000,1172000000,14082000000,TSN
2019-12-28,10-Q,0000100493,10815000000,9375000000,682000000,0.0,758000000,3000000,120000000,148000000,509000000,367000000,1.38,288000000.0,497000000,2063000000,4304000000,329000000,7193000000,7384000000,10862000000,6975000000,1397000000,33811000000,1947000000,1916000000,1568000000,5536000000,9772000000,1568000000,14419000000,TSN
2020-03-28,10-Q,0000100493,10888000000,9867000000,506000000,0.0,515000000,3000000,119000000,126000000,379000000,365000000,1.03,288000000.0,437000000,2248000000,4025000000,389000000,7099000000,7464000000,10847000000,6898000000,1582000000,33657000000,1142000000,1742000000,1528000000,4406000000,10978000000,1528000000,14449000000,TSN
2020-06-27,10-Q,0000100493,10022000000,8709000000,540000000,0.0,775000000,3000000,122000000,139000000,527000000,364000000,1.44,288000000.0,1365000000,2064000000,3680000000,355000000,7464000000,7515000000,10890000000,6842000000,1612000000,34323000000,750000000,1743000000,1632000000,4273000000,11279000000,1632000000,14685000000,TSN
2020-10-03,10-K,0000100493,43185000000,37801000000,2376000000,23000000.0,3008000000,10000000,485000000,593000000,2071000000,365000000,5.64,1152000000.0,1420000000,1952000000,3859000000,367000000,7598000000,7596000000,10899000000,6774000000,1589000000,34456000000,548000000,1876000000,1728000000,4234000000,10791000000,1728000000,15254000000,TSN
2020-10-03,10-Q,0000100493,11460000000,8709000000,648000000,0.0,962000000,3000000,122000000,180000000,657000000,364000000,1.79,288000000.0,1420000000,1952000000,3859000000,367000000,7598000000,7596000000,10899000000,6774000000,1589000000,34456000000,548000000,1876000000,1728000000,4234000000,10791000000,1728000000,15254000000,TSN
2021-01-02,10-Q,0000100493,10460000000,9283000000,472000000,0.0,705000000,2000000,110000000,144000000,472000000,365000000,1.28,298000000.0,2406000000,1900000000,3915000000,323000000,8544000000,7664000000,10913000000,6719000000,1618000000,35458000000,566000000,1997000000,1706000000,4849000000,10791000000,1706000000,15638000000,TSN
2021-04-03,10-Q,0000100493,11300000000,10047000000,533000000,0.0,720000000,2000000,110000000,147000000,477000000,365000000,1.3,298000000.0,877000000,2113000000,4128000000,896000000,8014000000,7661000000,10555000000,6649000000,1595000000,34474000000,580000000,1900000000,1668000000,4612000000,9784000000,1668000000,15931000000,TSN
2021-07-03,10-Q,0000100493,12478000000,10858000000,558000000,0.0,1062000000,2000000,105000000,213000000,753000000,366000000,2.05,298000000.0,1613000000,2324000000,4262000000,1009000000,9208000000,7725000000,10554000000,6587000000,1589000000,35663000000,1566000000,1950000000,1692000000,6184000000,8786000000,1692000000,16561000000,TSN
2021-10-02,10-Q,0000100493,12478000000,10858000000,558000000,0.0,1062000000,2000000,105000000,213000000,753000000,366000000,2.05,298000000.0,2507000000,2400000000,4382000000,533000000,9822000000,7837000000,10549000000,6519000000,1582000000,36309000000,1067000000,2225000000,1654000000,6325000000,8281000000,1654000000,17723000000,TSN
2021-10-02,10-K,0000100493,47049000000,40523000000,2130000000,0.0,4396000000,8000000,428000000,981000000,3060000000,365000000,8.34,1192000000.0,2507000000,2400000000,4382000000,533000000,9822000000,7837000000,10549000000,6519000000,1582000000,36309000000,1067000000,2225000000,1654000000,6325000000,8281000000,1654000000,17723000000,TSN
2022-01-01,10-Q,0000100493,12933000000,10918000000,560000000,0.0,1455000000,3000000,100000000,284000000,1126000000,365000000,3.07,300000000.0,2956000000,2091000000,4454000000,635000000,10136000000,8012000000,10550000000,6459000000,1667000000,36824000000,1090000000,2115000000,1700000000,6034000000,8274000000,1700000000,18403000000,TSN
2022-04-02,10-Q,0000100493,13117000000,11382000000,579000000,0.0,1156000000,3000000,97000000,254000000,833000000,364000000,2.28,300000000.0,1151000000,2408000000,4990000000,448000000,8997000000,8193000000,10548000000,6397000000,1763000000,35898000000,79000000,2269000000,1518000000,4657000000,8270000000,1518000000,19014000000,TSN
2022-07-02,10-Q,0000100493,13495000000,11884000000,578000000,0.0,1033000000,4000000,85000000,233000000,753000000,362000000,2.07,300000000.0,1056000000,2518000000,5332000000,397000000,9303000000,8393000000,10531000000,6325000000,1693000000,36245000000,67000000,2306000000,1474000000,4682000000,8261000000,1474000000,19355000000,TSN
2022-10-01,10-Q,0000100493,13495000000,11884000000,578000000,0.0,1033000000,4000000,85000000,233000000,753000000,362000000,2.07,300000000.0,1031000000,2577000000,5514000000,508000000,9630000000,8685000000,10513000000,6252000000,1741000000,36821000000,459000000,2483000000,1377000000,5313000000,7862000000,1377000000,19702000000,TSN
2022-10-01,10-K,0000100493,53282000000,46614000000,2258000000,0.0,4410000000,17000000,365000000,900000000,3249000000,363000000,8.92,1200000000.0,1031000000,2577000000,5514000000,508000000,9630000000,8685000000,10513000000,6252000000,1741000000,36821000000,459000000,2483000000,1377000000,5313000000,7862000000,1377000000,19702000000,TSN
2022-12-31,10-Q,0000100493,13260000000,12292000000,501000000,0.0,467000000,9000000,84000000,114000000,320000000,358000000,0.88,303000000.0,654000000,2295000000,5596000000,408000000,8953000000,9120000000,10550000000,6213000000,1842000000,36678000000,490000000,2530000000,1445000000,5114000000,7859000000,1445000000,19635000000,TSN
2023-04-01,10-Q,0000100493,13133000000,12606000000,576000000,0.0,-49000000,7000000,89000000,-39000000,-91000000,354000000,-0.28,303000000.0,543000000,2433000000,5504000000,412000000,8892000000,9351000000,10550000000,6157000000,1846000000,36796000000,1065000000,2387000000,1589000000,5346000000,7865000000,1589000000,19399000000,TSN
2023-07-01,10-Q,0000100493,13140000000,12463000000,579000000,448000000.0,-350000000,6000000,89000000,9000000,-435000000,354000000,-1.18,303000000.0,699000000,2451000000,5391000000,342000000,8883000000,9612000000,10211000000,6155000000,1900000000,36761000000,457000000,2421000000,1599000000,4948000000,8863000000,1599000000,18779000000,TSN
2023-09-30,10-Q,0000100493,13140000000,12463000000,579000000,448000000.0,-350000000,6000000,89000000,9000000,-435000000,354000000,-1.18,303000000.0,573000000,2476000000,5328000000,345000000,8722000000,9634000000,9878000000,6098000000,1919000000,36251000000,1895000000,2594000000,1578000000,6499000000,7611000000,1578000000,18133000000,TSN
2023-09-30,10-K,0000100493,52881000000,50250000000,2245000000,781000000.0,-395000000,30000000,355000000,-29000000,-649000000,284000000,-1.87,1212000000.0,573000000,2476000000,5328000000,345000000,8722000000,9634000000,9878000000,6098000000,1919000000,36251000000,1895000000,2594000000,1578000000,6499000000,7611000000,1578000000,18133000000,TSN
